earnings_date,name,short_float,symbol,datetime,url
2022-02-23,BlackRock TCP Capital Corp.,0.6,TCPC,2022-01-10,https://finance.yahoo.com/quote/TCPC/
2022-03-07,Turquoise Hill Resources Ltd.,1.45,TRQ,2022-01-10,https://finance.yahoo.com/quote/TRQ/
2022-02-14,Triton International Limited,1.54,TRTN,2022-01-10,https://finance.yahoo.com/quote/TRTN/
2022-01-27,"T. Rowe Price Group, Inc.",4.37,TROW,2022-01-10,https://finance.yahoo.com/quote/TROW/
2022-02-07,trivago N.V.,0.2,TRVG,2022-01-10,https://finance.yahoo.com/quote/TRVG/
2022-02-08,"Trupanion, Inc.",7.96,TRUP,2022-01-10,https://finance.yahoo.com/quote/TRUP/
2022-03-24,UP Fintech Holding Limited,9.64,TIGR,2022-01-10,https://finance.yahoo.com/quote/TIGR/
2022-02-07,Transdigm Group Incorporated,1.48,TDG,2022-01-10,https://finance.yahoo.com/quote/TDG/
2022-01-20,"The Travelers Companies, Inc.",1.67,TRV,2022-01-10,https://finance.yahoo.com/quote/TRV/
2022-01-10,"Tilray, Inc. - Class 2",10.75,TLRY,2022-01-10,https://finance.yahoo.com/quote/TLRY/
2022-02-16,TC Energy Corporation,0.69,TRP,2022-01-10,https://finance.yahoo.com/quote/TRP/
2022-02-01,Trinseo PLC,3.66,TSE,2022-01-10,https://finance.yahoo.com/quote/TSE/
2022-03-21,Tencent Music Entertainment Gro,1.91,TME,2022-01-10,https://finance.yahoo.com/quote/TME/
2022-02-09,"Tyson Foods, Inc.",1.26,TSN,2022-01-10,https://finance.yahoo.com/quote/TSN/
2022-01-25,"Tetra Tech, Inc.",1.62,TTEK,2022-01-10,https://finance.yahoo.com/quote/TTEK/
2022-02-15,Tower Semiconductor Ltd.,0.6,TSEM,2022-01-10,https://finance.yahoo.com/quote/TSEM/
2022-02-15,"Sixth Street Specialty Lending,",2.12,TSLX,2022-01-10,https://finance.yahoo.com/quote/TSLX/
2022-03-07,"Trevena, Inc.",4.72,TRVN,2022-01-10,https://finance.yahoo.com/quote/TRVN/
2022-01-27,Tractor Supply Company,2.23,TSCO,2022-01-10,https://finance.yahoo.com/quote/TSCO/
2022-03-02,"T2 Biosystems, Inc.",4.14,TTOO,2022-01-10,https://finance.yahoo.com/quote/TTOO/
2022-02-16,"Tri Pointe Homes, Inc.",2.38,TPH,2022-01-10,https://finance.yahoo.com/quote/TPH/
2022-01-25,"Tesla, Inc.",2.57,TSLA,2022-01-10,https://finance.yahoo.com/quote/TSLA/
